chr,start,end,n,meanDiff,group1.mean,group2.mean,tstat.sd,direction,fwer
chr6,149374791,149375316,6,-0.401118999,0.372960067,0.774079066,0.056565786,hypo,0
chr11,117857873,117858438,15,-0.40105166,0.040167784,0.441219444,0.065769574,hypo,0
chr2,43629207,43629435,5,-0.40076467,0.394566654,0.795331324,0.057881015,hypo,0
chr3,197440451,197440636,3,-0.400463259,0.283798905,0.684262165,0.058184612,hypo,0
chr3,101566304,101566345,3,-0.400432576,0.51952379,0.919956366,0.063877231,hypo,0
chr8,146010273,146010416,3,-0.400064668,0.393810192,0.79387486,0.063991282,hypo,0
chr5,176731640,176731960,13,-0.399839332,0.208272509,0.608111841,0.06016001,hypo,0
chr8,98658888,98659090,5,-0.399637371,0.100982477,0.500619848,0.056115336,hypo,0
chr9,92081483,92082228,16,-0.399538537,0.262238574,0.661777111,0.069323108,hypo,0
chr17,37641706,37642058,7,-0.399365359,0.501567209,0.900932568,0.057052208,hypo,0
chr14,75999631,75999765,6,-0.399242177,0.478669078,0.877911255,0.067189893,hypo,0
chr1,101773436,101774300,10,-0.399212285,0.209089896,0.608302181,0.06290727,hypo,0
chr3,122401129,122401343,4,-0.399190008,0.179415282,0.57860529,0.072319565,hypo,0
chr14,57286052,57286413,4,-0.39915195,0.423650368,0.822802319,0.052719187,hypo,0
chr8,101398267,101398873,11,-0.399115216,0.32107271,0.720187926,0.056859066,hypo,0
chr15,67378565,67379076,3,-0.398841572,0.117747599,0.51658917,0.060208978,hypo,0
chr6,113947117,113947801,6,-0.398624664,0.432267175,0.830891839,0.052346499,hypo,0
chr8,128220283,128220503,3,-0.39847203,0.374478823,0.772950854,0.055851489,hypo,0
chr19,49992720,49993019,6,-0.398380101,0.320365285,0.718745386,0.069614258,hypo,0
chr16,71879202,71879234,3,-0.398082524,0.349852342,0.747934867,0.069442811,hypo,0
chr11,110165733,110165775,3,-0.398039133,0.350398497,0.74843763,0.060073042,hypo,0
chr1,40064079,40064325,9,-0.397985712,0.320423486,0.718409198,0.054249196,hypo,0
chr1,78446133,78446289,3,-0.397730744,0.340556013,0.738286757,0.057163022,hypo,0
chr16,10369291,10369708,6,-0.397695691,0.399269959,0.796965651,0.066729909,hypo,0
chr1,111685087,111685261,4,-0.397595028,0.2226032,0.620198228,0.058459549,hypo,0
chr4,40630588,40631045,7,-0.397398211,0.320496532,0.717894743,0.056759113,hypo,0
chr2,214017916,214018368,6,-0.39729433,0.217507546,0.614801876,0.060583488,hypo,0
chr6,86350540,86350652,3,-0.397264222,0.234672499,0.631936721,0.056240817,hypo,0
chr8,128219748,128219959,3,-0.397217511,0.406924413,0.804141924,0.055341801,hypo,0
chr16,8985008,8985163,6,-0.397081926,0.23266658,0.629748506,0.062745475,hypo,0
chr19,11206686,11207177,8,-0.396841036,0.269133711,0.665974747,0.059332164,hypo,0
chr11,65903563,65904551,16,-0.396636243,0.261918999,0.658555241,0.05501116,hypo,0
chr17,37650031,37650148,5,-0.396537942,0.277183903,0.673721845,0.06616748,hypo,0
chr22,38056047,38056475,8,-0.396316376,0.256839381,0.653155757,0.069240507,hypo,0
chr2,97002201,97002917,7,-0.396243387,0.218016901,0.614260288,0.060769369,hypo,0
chr1,203734167,203734895,16,-0.396175724,0.290530414,0.686706138,0.067038178,hypo,0
chr14,62127798,62128440,10,-0.396114512,0.363283025,0.759397537,0.053533217,hypo,0
chr15,23075272,23075322,4,-0.396091999,0.50595672,0.902048719,0.061492971,hypo,0
chr7,98470155,98470645,5,-0.396009231,0.416871032,0.812880263,0.055268008,hypo,0
chr2,70388414,70388844,7,-0.395954602,0.522534662,0.918489264,0.060000824,hypo,0
chr1,40421907,40422169,6,-0.395811521,0.346932514,0.742744035,0.064259543,hypo,0
chr12,852357,853809,14,-0.395628211,0.211276195,0.606904406,0.052059082,hypo,0
chr19,16266504,16266715,9,-0.395346486,0.352267398,0.747613883,0.05640635,hypo,0
chr4,175203483,175203827,3,-0.395236261,0.415278047,0.810514308,0.05312948,hypo,0
chr2,39345419,39345810,4,-0.395072133,0.385504234,0.780576367,0.053650115,hypo,0
chr20,62256973,62257200,7,-0.394900944,0.312885026,0.707785969,0.060885874,hypo,0
chr5,156501757,156501950,8,-0.394829193,0.473724677,0.86855387,0.062109877,hypo,0
chr2,203243127,203243687,6,-0.394755497,0.120056844,0.514812341,0.057216876,hypo,0
chr4,100772766,100773391,12,-0.394395514,0.230045242,0.624440756,0.055239778,hypo,0
chr4,83827598,83827765,4,-0.394333375,0.358814406,0.753147781,0.053814133,hypo,0
chr4,100773862,100774131,4,-0.394323067,0.420421791,0.814744858,0.055239778,hypo,0
chr15,85202272,85202501,4,-0.39429165,0.290531013,0.684822663,0.059513665,hypo,0
chr14,93152935,93153344,6,-0.394235863,0.419364279,0.813600142,0.05672328,hypo,0
chr5,953144,953580,7,-0.39418479,0.449820434,0.844005224,0.063642994,hypo,0
chr6,159237124,159238111,14,-0.394180101,0.077296958,0.471477059,0.057042357,hypo,0
chr20,56058034,56058829,20,-0.393892423,0.506101086,0.899993508,0.06177047,hypo,0
chr2,157196601,157197124,4,-0.393860132,0.451055217,0.844915349,0.055815567,hypo,0
chr19,38423940,38424037,3,-0.393744226,0.246757398,0.640501624,0.067842432,hypo,0
chr11,826530,826668,5,-0.393688207,0.244501978,0.638190185,0.069698361,hypo,0
chr11,44116477,44116723,6,-0.393478717,0.369175599,0.762654316,0.06276905,hypo,0
chr11,85961343,85961645,6,-0.393140288,0.400066695,0.793206983,0.058689421,hypo,0
chr1,20037346,20038554,15,-0.393116615,0.476074453,0.869191068,0.059128856,hypo,0
chr16,86002723,86003515,12,-0.3930685,0.281595563,0.674664063,0.061688423,hypo,0
chr10,60029867,60029927,3,-0.392790779,0.434611374,0.827402153,0.054224116,hypo,0
chr6,149375658,149376051,5,-0.39261242,0.27146432,0.66407674,0.056333763,hypo,0
chr17,28086951,28086967,3,-0.392548485,0.269970693,0.662519178,0.055969205,hypo,0
chr12,27487028,27487176,6,-0.392508443,0.053154426,0.445662869,0.052534274,hypo,0
chr16,2977709,2977778,5,-0.392263485,0.364458689,0.756722174,0.06709009,hypo,0
chr3,11686044,11686192,6,-0.392138721,0.455725133,0.847863854,0.058417058,hypo,0
chr8,11717559,11718739,17,-0.392052804,0.256456912,0.648509716,0.063756401,hypo,0
chr7,97475673,97476126,4,-0.392051136,0.409535586,0.801586722,0.054235834,hypo,0
chr19,10212249,10212419,3,-0.391807477,0.315757337,0.707564814,0.057867984,hypo,0
chr14,50549292,50551279,31,-0.391697487,0.129898163,0.52159565,0.063820853,hypo,0
chr6,3783345,3783502,3,-0.391452336,0.544966576,0.936418912,0.053059931,hypo,0
chr22,27067321,27068004,9,-0.391415676,0.292155742,0.683571418,0.057878285,hypo,0
chr19,3984133,3984379,15,-0.391342452,0.131449727,0.522792179,0.056236988,hypo,0
chr1,151161329,151161584,11,-0.390778213,0.36300091,0.753779124,0.06742148,hypo,0
chr1,219361742,219361962,3,-0.390735621,0.320968137,0.711703758,0.059546549,hypo,0
chr19,1903113,1903276,3,-0.390590023,0.31379809,0.704388113,0.06561583,hypo,0
chr21,44300287,44300309,3,-0.390566581,0.235976968,0.62654355,0.05608416,hypo,0
chr21,38604620,38604982,14,-0.390524849,0.274055596,0.664580445,0.071509959,hypo,0
chr15,64454293,64454495,5,-0.390466781,0.268427278,0.658894059,0.057633975,hypo,0
chr17,47753274,47753561,7,-0.390203551,0.28178121,0.671984761,0.058320967,hypo,0
chr15,86235789,86236706,14,-0.390183423,0.209532382,0.599715806,0.052143575,hypo,0
chr11,1507534,1507548,3,-0.390114791,0.52565913,0.915773921,0.066029855,hypo,0
chr11,33964547,33965204,10,-0.390114063,0.429277029,0.819391092,0.05716415,hypo,0
chr4,53579633,53580065,10,-0.390077612,0.32844814,0.718525753,0.056961444,hypo,0
chr10,89628800,89629831,12,-0.389995845,0.330386517,0.720382362,0.053255607,hypo,0
chr5,154138393,154138607,4,-0.389967696,0.231095681,0.621063378,0.056649216,hypo,0
chr1,2993019,2994051,18,-0.389890668,0.431515151,0.821405819,0.06178407,hypo,0
chr1,91488275,91488438,3,-0.389808541,0.350954339,0.74076288,0.063595894,hypo,0
chr6,26600049,26600354,4,-0.389291081,0.478547451,0.867838532,0.055594899,hypo,0
chr16,85935022,85935779,11,-0.389236077,0.072598752,0.461834829,0.061162098,hypo,0
chr19,19780507,19780932,12,-0.388920732,0.409030308,0.79795104,0.069406607,hypo,0
chr16,11076158,11076815,19,-0.388854415,0.274773655,0.663628071,0.069077841,hypo,0
chr7,148763274,148763313,5,-0.388821477,0.263268621,0.652090098,0.064082315,hypo,0
chr3,12690104,12690473,12,-0.388791127,0.450860625,0.839651751,0.055762645,hypo,0
chr17,37641013,37641250,10,-0.388631734,0.497471573,0.886103307,0.057052208,hypo,0
chr2,217364893,217365225,5,-0.388247352,0.301858834,0.690106186,0.052060355,hypo,0
chr6,106562527,106562877,8,-0.387965539,0.407165167,0.795130706,0.062794262,hypo,0
chr19,47689694,47690235,13,-0.387904288,0.400861064,0.788765351,0.072615081,hypo,0
chr3,97484571,97484765,4,-0.387817471,0.457447002,0.845264473,0.05249188,hypo,0
chr3,194973607,194973998,8,-0.387660737,0.497629282,0.885290019,0.056865445,hypo,0
chr19,33137117,33137254,5,-0.387598228,0.482712459,0.870310687,0.057537815,hypo,0
chr1,31883747,31884302,11,-0.387259589,0.351418374,0.738677963,0.056970428,hypo,0
chr5,175949664,175949804,6,-0.387233194,0.431485586,0.818718781,0.059419976,hypo,0
chr3,10268074,10268107,3,-0.387216053,0.422970436,0.810186488,0.065177988,hypo,0
chr2,62372958,62373487,8,-0.387196739,0.455944663,0.843141402,0.057564063,hypo,0
chr2,65141186,65141728,15,-0.387159063,0.15511935,0.542278413,0.058351203,hypo,0
chr9,116142646,116143277,6,-0.387109539,0.396204855,0.783314393,0.062069641,hypo,0
chr1,6307676,6307800,4,-0.38698081,0.379080755,0.766061565,0.064798247,hypo,0
chr8,141598962,141599225,11,-0.386788928,0.321667495,0.708456424,0.065767598,hypo,0
chr2,10553879,10554204,6,-0.386703732,0.490597062,0.877300794,0.064697571,hypo,0
chr14,63957918,63958479,7,-0.386701529,0.445508785,0.832210314,0.061505654,hypo,0
chr5,170817672,170818060,9,-0.386624737,0.280861323,0.66748606,0.058912294,hypo,0
chr1,100541610,100542018,4,-0.386574512,0.492221257,0.878795769,0.056391146,hypo,0
chr10,5904536,5904628,5,-0.386374719,0.315093264,0.701467983,0.064572974,hypo,0
chr7,102065618,102065651,3,-0.386339187,0.119650424,0.505989611,0.065439419,hypo,0
chr8,613790,614126,14,-0.386267182,0.356403467,0.742670649,0.059751103,hypo,0
chr7,141349039,141349531,8,-0.386220975,0.285166217,0.671387192,0.063233505,hypo,0
chr19,13894267,13894618,7,-0.386076899,0.432680256,0.818757155,0.064804722,hypo,0
chr4,71767388,71767407,3,-0.38600882,0.321800929,0.707809748,0.058339539,hypo,0
chr15,65925302,65925462,3,-0.38580563,0.481495063,0.867300693,0.055058158,hypo,0
chr1,176146822,176147311,4,-0.385709145,0.508375813,0.894084959,0.0538325,hypo,0
chr10,69832245,69832920,5,-0.385476609,0.491087342,0.876563951,0.056549478,hypo,0
chr12,31473958,31474692,5,-0.385451717,0.260828354,0.646280071,0.058287358,hypo,0
chr1,28906382,28906765,9,-0.385430428,0.326569594,0.712000022,0.068118245,hypo,0
chr1,243751617,243752707,13,-0.385220267,0.297233644,0.682453911,0.057222373,hypo,0
chr12,132565469,132565696,8,-0.385120067,0.494421065,0.879541132,0.071414677,hypo,0
chr3,23853015,23853328,3,-0.385072263,0.347018748,0.732091011,0.057852403,hypo,0
chr1,67806820,67807056,4,-0.38507036,0.378748102,0.763818462,0.053729023,hypo,0
chr18,12076795,12077147,5,0.384674562,0.665438564,0.280764002,0.064189156,hyper,0
chr10,12504879,12505356,7,-0.384537029,0.433278001,0.817815031,0.055154068,hypo,0
chr9,71323344,71323860,5,-0.384362807,0.188032537,0.572395344,0.053804746,hypo,0
chr20,32091993,32092504,9,-0.384355349,0.400194357,0.784549706,0.059826823,hypo,0
chr20,3225740,3225974,3,-0.384289131,0.434351079,0.81864021,0.056680766,hypo,0
chr11,810968,811247,5,-0.38422927,0.246691724,0.630920994,0.060271039,hypo,0
chr13,48879360,48879700,5,-0.384157544,0.141826023,0.525983567,0.059810716,hypo,0
chr8,61454763,61455023,7,-0.384001495,0.491258209,0.875259705,0.054354116,hypo,0
chr5,142778112,142778522,7,-0.383601903,0.35298726,0.736589163,0.06020346,hypo,0
chr8,61454108,61454422,5,-0.383428111,0.485780373,0.869208483,0.054354116,hypo,0
chr19,4368490,4368668,7,-0.383257549,0.260205996,0.643463546,0.061702692,hypo,0
chr12,120637268,120637811,7,-0.383238597,0.254082556,0.637321153,0.060455968,hypo,0
chr5,151042112,151042595,5,-0.383125876,0.309344399,0.692470275,0.058584917,hypo,0
chr20,61210315,61210526,4,-0.383039239,0.471561481,0.854600721,0.055261397,hypo,0
chr2,55281543,55281781,5,-0.382857842,0.361134294,0.743992137,0.066562418,hypo,0
chr17,35967556,35967695,5,-0.382621815,0.15858461,0.541206425,0.055825566,hypo,0
chr19,36704843,36704941,3,-0.382567236,0.279290823,0.661858059,0.056158124,hypo,0
chr6,111802034,111802400,4,-0.382527568,0.465217785,0.847745353,0.057469291,hypo,0
chr1,235268342,235269066,11,-0.382456053,0.396987142,0.779443195,0.057088843,hypo,0
chr3,37032630,37033373,7,-0.38238015,0.259488558,0.641868707,0.057053939,hypo,0
chr9,131444484,131444897,6,-0.382209887,0.258752411,0.640962298,0.059188246,hypo,0
chr12,31739894,31740053,3,-0.382195595,0.413262485,0.79545808,0.061718253,hypo,0
chr3,196001556,196001793,5,-0.382134919,0.458317541,0.840452459,0.06260914,hypo,0
chr17,77830765,77831331,8,-0.381957376,0.527190586,0.909147962,0.056899648,hypo,0
chr7,100140552,100141208,11,-0.381954067,0.36295851,0.744912577,0.063243168,hypo,0
chr1,41104687,41105015,3,-0.381834324,0.412292766,0.79412709,0.052877422,hypo,0
chr1,38182348,38182695,4,-0.381586533,0.469022465,0.850608998,0.055275815,hypo,0
chr8,104425838,104426171,5,-0.38147821,0.229786084,0.611264294,0.060887109,hypo,0
chr14,73756266,73757313,6,-0.38143203,0.431119176,0.812551205,0.057176355,hypo,0
chr13,114058267,114058279,3,-0.381110185,0.554634734,0.935744919,0.057572336,hypo,0
chr1,28571410,28571841,12,-0.381058317,0.134731629,0.515789946,0.059770813,hypo,0
chr7,2444940,2445377,11,-0.381047455,0.290292787,0.671340241,0.058227721,hypo,0
chr4,26181605,26181921,5,-0.380793855,0.44405158,0.824845435,0.058944261,hypo,0
chr2,203243995,203244284,3,-0.380770353,0.207060224,0.587830577,0.058695677,hypo,0
chr6,28946431,28946749,6,-0.380727393,0.383723476,0.764450868,0.07151399,hypo,0
chr18,47017458,47017768,5,-0.380698912,0.226986598,0.60768551,0.061231185,hypo,0
chr22,24108930,24109185,6,-0.38068273,0.187466429,0.568149159,0.067271964,hypo,0
chr11,66248459,66248587,5,-0.380553758,0.377360566,0.757914324,0.05742877,hypo,0
chr12,7078455,7078954,11,-0.380514628,0.333419115,0.713933743,0.057498419,hypo,0
chr2,129078456,129078512,3,-0.380299513,0.58032489,0.960624404,0.060984002,hypo,0
chr17,16311684,16312202,10,-0.380193738,0.190800943,0.57099468,0.061923089,hypo,0
chr22,32056880,32057065,6,-0.380005459,0.348268184,0.728273643,0.059951132,hypo,0
chr2,144488668,144489332,5,-0.379918257,0.412187315,0.792105572,0.059538296,hypo,0
chr2,64925436,64926705,9,-0.379811781,0.232419299,0.612231079,0.060829409,hypo,0
chr6,26194631,26194887,3,-0.379785516,0.337163499,0.716949015,0.057748485,hypo,0
chr15,31521505,31521698,3,-0.379771354,0.208389693,0.588161048,0.063712758,hypo,0
chr14,103285756,103287070,21,-0.379506197,0.353394336,0.732900533,0.052635466,hypo,0
chr16,88730754,88730934,7,-0.379494842,0.404623153,0.784117995,0.059376478,hypo,0
chr13,100147743,100147896,4,-0.379333249,0.431230666,0.810563915,0.06309669,hypo,0
chr18,57569637,57569935,6,-0.379313321,0.415347767,0.794661088,0.053910083,hypo,0
chr12,121686411,121686788,23,-0.379303135,0.490215191,0.869518326,0.067210403,hypo,0
chr12,31473267,31473577,4,-0.379300883,0.282829097,0.66212998,0.058287358,hypo,0
chr12,13016015,13016187,3,-0.379254049,0.522881986,0.902136035,0.054473661,hypo,0
chr13,28487792,28488038,5,-0.379219929,0.50849104,0.887710969,0.05481407,hypo,0
chr15,93449469,93449544,3,-0.379139581,0.311072202,0.690211783,0.057456811,hypo,0
chr15,42872809,42873069,7,-0.379066231,0.522594497,0.901660727,0.066668651,hypo,0
chr11,60104824,60105330,8,-0.378616607,0.377308285,0.755924892,0.058808545,hypo,0
chr7,4728765,4729437,18,-0.378551242,0.338205281,0.716756524,0.055610974,hypo,0
chr11,14667493,14667673,3,-0.378484357,0.429590232,0.808074589,0.055757955,hypo,0
chr12,105719901,105720532,8,-0.378455763,0.545275856,0.923731619,0.058523955,hypo,0
chr19,4242342,4242960,9,-0.37842839,0.27879644,0.657224829,0.0677398,hypo,0
chr5,118689317,118689638,4,-0.378246574,0.161486962,0.539733536,0.060538433,hypo,0
chr11,60105652,60106161,5,-0.378208083,0.386160299,0.764368382,0.05857034,hypo,0
chr19,10704108,10704681,9,-0.378001909,0.390863337,0.768865246,0.059635137,hypo,0
chr19,8275780,8275902,4,-0.377960628,0.267801369,0.645761998,0.06944293,hypo,0
chr16,69220015,69220200,6,-0.377825413,0.440309698,0.818135111,0.063682944,hypo,0
chr4,2920530,2920918,7,-0.377650924,0.295060421,0.672711344,0.060313828,hypo,0
chr15,45493814,45493839,3,-0.377638844,0.382183873,0.759822717,0.053731125,hypo,0
chr11,71702741,71704055,12,-0.377552466,0.205184294,0.58273676,0.055914129,hypo,0
chr3,47991831,47992378,6,-0.377392169,0.429714098,0.807106267,0.057350763,hypo,0
chr8,146016435,146016721,6,-0.377361078,0.232944205,0.610305283,0.06692565,hypo,0
chr12,776851,777077,6,-0.37735241,0.146525435,0.523877846,0.053655589,hypo,0
chr9,37787200,37787423,7,0.377316566,0.853907092,0.476590526,0.068801826,hyper,0
chr10,104006353,104006782,3,-0.377083125,0.36852634,0.745609464,0.054431784,hypo,0
chr12,93364890,93365329,3,-0.377077345,0.348402989,0.725480333,0.058426877,hypo,0
chr4,26181041,26181302,5,-0.377052742,0.410767537,0.787820279,0.060174992,hypo,0
chr6,15359016,15359897,15,-0.377052425,0.384056673,0.761109098,0.058125768,hypo,0
chr17,37885922,37886189,3,-0.377005306,0.401060614,0.778065919,0.054711349,hypo,0
chr17,18764378,18764700,8,-0.376909768,0.472864001,0.849773769,0.065616895,hypo,0
chr2,10951250,10951615,3,-0.376721314,0.041635859,0.418357173,0.054844771,hypo,0
chr12,68767714,68769392,18,-0.376543974,0.300329364,0.676873339,0.05651127,hypo,0
chr10,74915984,74916219,4,-0.376506114,0.565377004,0.941883119,0.060236106,hypo,0
chr5,157288416,157288740,5,-0.376503017,0.179476521,0.555979537,0.068293662,hypo,0
chr11,47530352,47530711,11,-0.376481318,0.397722764,0.774204082,0.057004508,hypo,0
chr13,28486990,28487353,5,-0.376449044,0.47957345,0.856022495,0.055217972,hypo,0
chr9,2011929,2012963,18,-0.376291271,0.566962231,0.943253502,0.057499443,hypo,0
chr1,227013259,227013878,9,0.376141893,0.714824156,0.338682263,0.058883995,hyper,0
chr4,1874628,1875099,5,-0.375978326,0.207648038,0.583626364,0.056909635,hypo,0
chr7,77093920,77094430,5,-0.375962411,0.295495084,0.671457495,0.053071944,hypo,0
chr17,38309030,38309859,12,-0.37595203,0.429009881,0.80496191,0.061263217,hypo,0
chr15,31521011,31521182,5,-0.375905676,0.135603263,0.511508939,0.066436881,hypo,0
chr7,100129224,100129599,9,-0.375859837,0.460274962,0.836134799,0.059813152,hypo,0
chr10,96062963,96064191,7,-0.375831693,0.452772749,0.828604442,0.05337973,hypo,0
chr6,56973282,56973514,4,-0.375628087,0.45120324,0.826831327,0.054468784,hypo,0
chr11,64516974,64517068,4,-0.375624927,0.400157344,0.775782271,0.057133753,hypo,0
chr15,42261604,42261916,4,-0.375518135,0.374728748,0.750246883,0.057110726,hypo,0
chr1,167646092,167647133,9,-0.375446542,0.480682231,0.856128773,0.061879062,hypo,0
chr11,4117073,4117213,4,-0.375382843,0.257229602,0.632612445,0.058659698,hypo,0
chr2,119990100,119990528,6,-0.375335674,0.461086207,0.836421881,0.054555331,hypo,0
chr3,182513664,182513785,3,-0.375241529,0.383762615,0.759004144,0.053947447,hypo,0
chr1,168196862,168197110,5,-0.375171543,0.283590706,0.658762249,0.060277413,hypo,0
chr17,37642396,37643121,11,-0.375154576,0.52504575,0.900200326,0.057052208,hypo,0
chr11,62433857,62434032,9,-0.375119219,0.365448263,0.740567482,0.067516054,hypo,0
chr1,181060189,181060720,5,-0.375084024,0.152463018,0.527547042,0.053419432,hypo,0
chr6,146185960,146186848,7,-0.374997686,0.245577505,0.620575191,0.057084468,hypo,0
chr3,170586336,170586841,10,-0.374718113,0.210655724,0.585373837,0.053685417,hypo,0
chr2,42865452,42865931,8,-0.374714353,0.444340491,0.819054844,0.068131082,hypo,0
chr1,19786083,19786565,10,-0.374218688,0.336079022,0.71029771,0.064820874,hypo,0
chr3,44550781,44551081,3,-0.374191503,0.43627415,0.810465653,0.063052736,hypo,0
chr21,37669932,37670069,3,-0.374136225,0.369731921,0.743868146,0.061794718,hypo,0
chr8,71519030,71519166,3,-0.374081312,0.23177273,0.605854041,0.056019065,hypo,0
chr5,40754248,40754533,3,-0.374025142,0.309422083,0.683447226,0.054310109,hypo,0
chr6,30703704,30704875,18,-0.373926682,0.357526752,0.731453434,0.055140492,hypo,0
chr9,139233297,139233391,4,-0.373886287,0.562936019,0.936822306,0.057411063,hypo,0
chr5,39076046,39076377,4,-0.373861122,0.230915942,0.604777063,0.058374367,hypo,0
chr3,185919780,185920023,3,-0.373771317,0.577008505,0.950779822,0.052820983,hypo,0
chr15,23085185,23085402,7,-0.373760522,0.4301411,0.803901622,0.054090448,hypo,0
chr12,12713239,12713593,3,-0.373590658,0.405388362,0.778979019,0.058298261,hypo,0
chr20,62358661,62358883,5,-0.373316303,0.086446002,0.459762305,0.05988638,hypo,0
chr3,194972613,194972721,4,-0.373141732,0.421160236,0.794301968,0.056973028,hypo,0
chr3,196002159,196002344,3,-0.373121561,0.509846793,0.882968354,0.06260914,hypo,0
chr14,93527623,93527900,4,-0.372794692,0.396456114,0.769250806,0.062426142,hypo,0
chr17,75097768,75097909,4,-0.372623762,0.403495878,0.77611964,0.069270418,hypo,0
chr7,5565630,5566311,10,-0.372598984,0.246309436,0.61890842,0.062652617,hypo,0
chr16,11269539,11270067,11,-0.372524728,0.235825647,0.608350375,0.061569886,hypo,0
chr16,10360788,10360936,5,-0.372395475,0.219738632,0.592134108,0.0611126,hypo,0
chr22,38385879,38386493,8,-0.372347886,0.552363771,0.924711658,0.060111307,hypo,0
chr12,108953427,108953828,4,-0.372299102,0.317172079,0.689471181,0.054782854,hypo,0
chr6,35992685,35992791,3,-0.372235515,0.420631204,0.792866719,0.062040415,hypo,0
chr8,42910303,42910410,3,-0.372226801,0.466785871,0.839012672,0.055227709,hypo,0
chr6,26420626,26420759,4,-0.372222134,0.294573113,0.666795247,0.057182974,hypo,0
chr14,65381962,65382007,3,-0.372051844,0.305932464,0.677984308,0.053259915,hypo,0
chr17,60571690,60571837,3,-0.371977103,0.517486937,0.88946404,0.062097723,hypo,0
chr16,29622684,29622930,6,-0.371908995,0.129182778,0.501091772,0.06396301,hypo,0
chr17,46793766,46793929,3,-0.371825575,0.293278009,0.665103584,0.058307411,hypo,0
chr3,32924187,32924998,10,-0.371681073,0.489278937,0.86096001,0.053612011,hypo,0
chr19,2148062,2148610,14,-0.371657316,0.501693617,0.873350933,0.065744663,hypo,0
chr1,36234376,36234452,3,-0.371638776,0.192896721,0.564535497,0.069937956,hypo,0
chr12,131358234,131358539,5,-0.371607823,0.1433031,0.514910923,0.054925621,hypo,0
chr13,25498123,25498266,8,-0.37156047,0.410738483,0.782298953,0.061888573,hypo,0
chr12,57079663,57079987,12,-0.371554292,0.354359615,0.725913907,0.060573374,hypo,0
chr22,41213663,41213897,6,-0.371518803,0.34778765,0.719306454,0.062814973,hypo,0
chr19,54705890,54706156,12,-0.371283461,0.274313128,0.645596589,0.062924901,hypo,0
chr15,42260725,42261154,5,-0.371256826,0.247740288,0.618997114,0.057110726,hypo,0
chr19,17665679,17665873,6,-0.371232053,0.374349032,0.745581085,0.063383066,hypo,0
chr5,100241070,100241496,6,-0.371174979,0.343482989,0.714657969,0.054844468,hypo,0
chr21,42738842,42739555,11,-0.371132721,0.251338575,0.622471296,0.056988309,hypo,0
chr22,37872308,37872901,9,-0.370956019,0.424531223,0.795487242,0.059441136,hypo,0
chr12,53692961,53693054,3,-0.370882405,0.348720641,0.719603045,0.062410161,hypo,0
chr6,155094546,155094851,6,-0.370684107,0.438914751,0.809598859,0.05626231,hypo,0
chr16,409023,409129,8,-0.370676916,0.5279286,0.898605516,0.065745107,hypo,0
chr1,161145843,161146272,4,-0.370486953,0.526650418,0.897137371,0.057784627,hypo,0
chr4,100768653,100769541,19,-0.370411623,0.303392324,0.673803947,0.05425203,hypo,0
chr8,67523384,67523784,3,-0.370386295,0.371379638,0.741765933,0.058238476,hypo,0
chr16,84761136,84761445,3,-0.370344166,0.388711865,0.759056031,0.061224764,hypo,0
chr6,135191295,135191793,7,-0.370293189,0.315087181,0.685380371,0.064256966,hypo,0
chr12,125002891,125003254,21,0.37011378,0.620478292,0.250364512,0.081240751,hyper,0
chr10,52301273,52302024,7,-0.370045734,0.326355385,0.696401119,0.054962171,hypo,0
chr3,63923713,63924000,3,-0.369600947,0.45122999,0.820830937,0.058611064,hypo,0
chr8,38861347,38861660,4,-0.369502596,0.463048709,0.832551305,0.061646835,hypo,0
chr7,116595917,116595944,3,-0.369394234,0.312043499,0.681437733,0.062503759,hypo,0
chr6,27098478,27098709,3,-0.369372473,0.292195352,0.661567825,0.055753196,hypo,0
chr1,27165444,27165674,6,-0.369251996,0.230877305,0.600129301,0.065270573,hypo,0
chr17,76170369,76170619,4,-0.36923843,0.360667782,0.729906212,0.066463155,hypo,0
chr3,9209842,9210341,9,-0.369232919,0.416282699,0.785515618,0.052049897,hypo,0
chr17,40769988,40770309,3,-0.3692216,0.277002333,0.646223932,0.062300354,hypo,0
chr11,61128084,61128404,13,-0.369025292,0.195969152,0.564994444,0.069268402,hypo,0
chr6,52148092,52148173,5,-0.368998675,0.400007056,0.769005731,0.056784818,hypo,0
chr19,38536301,38537117,16,-0.368848645,0.130366349,0.499214994,0.06543522,hypo,0
chr10,120837887,120838402,5,-0.368559348,0.274290935,0.642850283,0.058827308,hypo,0
chr22,31485303,31485876,7,-0.368312879,0.302970896,0.671283775,0.064712376,hypo,0
chr8,132917564,132917599,3,-0.368118882,0.343679282,0.711798164,0.056080228,hypo,0
chr3,42257138,42257872,8,-0.367961793,0.417135305,0.785097097,0.060346904,hypo,0
chr17,1800367,1800519,7,-0.36793545,0.536335701,0.904271151,0.054199838,hypo,0
chr4,39459047,39459596,9,-0.367884472,0.330180527,0.698064998,0.053698233,hypo,0
chr10,101768405,101768642,8,-0.36769611,0.404026539,0.77172265,0.058022314,hypo,0
chr1,38396016,38396334,6,-0.367648912,0.230668321,0.598317233,0.063020942,hypo,0
chr1,45955179,45955354,11,-0.367610509,0.166948667,0.534559176,0.057417879,hypo,0
chr15,42796432,42797072,7,-0.367520444,0.230644262,0.598164706,0.062854404,hypo,0
